uuid,graphic_layer,line,path
28c5c34c-a3bb-4f11-88da-6bf48d718eca,Standard,0f9bf171-b79b-4009-8b0b-6ec18c523ebf,"{""type"":""LineString"",""coordinates"":[[0.76836158,0.67213115],[0.75706215,0.67213115],[0.76271186,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
37d550c7-c9c4-48c3-b2b6-4c120c095dec,Standard,1372ca57-8429-43c6-a589-a402de4ac7f9,"{""type"":""LineString"",""coordinates"":[[0.93785311,0.14754098],[0.93220339,0.14754098],[0.94350282,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
a17da6b8-ee9a-4ea4-83b4-97ed6a95cfeb,Standard,17e2286d-65ca-4948-8a6c-63bdc13a9b50,"{""type"":""LineString"",""coordinates"":[[0.99435028,0.57377049],[0.99435028,0.91803279],[0.99435028,0.74590164],[0.96045198,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d969661d-d4dc-4544-95aa-54baebea0e8f,Standard,a102f0f4-e86d-438c-95a9-d3fc6357121f,"{""type"":""LineString"",""coordinates"":[[0.9039548,0.57377049],[0.91525424,0.57377049],[0.90960452,0.57377049]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
731d0c51-6405-43f9-ab85-2ee7039cbef5,Standard,0a068504-0bd7-4484-a0e3-26afade14698,"{""type"":""LineString"",""coordinates"":[[0.0960452,0.14754098],[0.0960452,0.1147541],[0.0960452,0.13114754]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
75c4a953-e8af-496f-b844-0e201f12c8da,Standard,e1315733-0b28-4465-8367-fa4535d282fa,"{""type"":""LineString"",""coordinates"":[[0.86440678,0.14754098],[0.8700565,0.14754098],[0.87570621,0.14754098]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
69c87952-34ed-4092-8522-dd2c66ac48f5,Standard,eb1cd362-f3bd-4411-a45d-a237bcb07789,"{""type"":""LineString"",""coordinates"":[[0.76836158,0.89344262],[0.75706215,0.89344262],[0.76271186,0.89344262]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
11bdeb21-cd02-48b2-bd54-b1adf2e96ecf,Standard,0f11e5d6-f850-463b-8d74-6fdf91fad535,"{""type"":""LineString"",""coordinates"":[[0.97175141,0.84836159],[0.97175141,0.91803279],[0.96045198,0.77868852],[0.97175141,0.77868852]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
d37ce273-2b19-445b-aa00-ee2a13153e14,Standard,e357bf93-aaa3-4870-b6a4-6d2cdb8967da,"{""type"":""LineString"",""coordinates"":[[0.88700565,0.36885246],[0.87570621,0.36885246],[0.88135593,0.36885246]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
58b6d4fc-b31d-4909-ba77-0b4c7bb2125a,Standard,7fa87646-f182-4d67-9ffd-850f489fb24a,"{""type"":""LineString"",""coordinates"":[[0.66666667,0.67213115],[0.67231638,0.67213115],[0.6779661,0.67213115]],""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}}}"
