uuid,b,g,i_max,id,r,v_rated,x
9312de84-9197-462f-9d69-7d2fea8f7f68,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
6fab725c-b58a-47eb-957c-9ca99f4558ce,85.7655029296875,0.0,361.0,MS_3,0.165999993681908,20.0,0.117200002074242
cb059d73-c67b-41d4-9c49-844c12351e77,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
a7071b97-2be4-40bf-a0b1-b8faf6bff6d6,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
6c4bc7e5-6510-43f2-b370-89e5426d8364,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
7286023c-864d-476f-8b54-f23179ed906a,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
c56980f1-59a0-4966-8743-a6a8165efdda,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
3b41ea67-4e64-466f-9932-712b23fcf7df,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
7482222e-f925-4004-abdd-0b69ef453d8d,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
0622aad8-6436-429e-a46b-4e09adad1a6c,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
8bfec339-14db-48d1-869b-c46b602a5940,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
b859db2f-036d-4697-887f-cb9445bc0814,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
c21290a1-ce12-4bc1-be0b-3492c9399da3,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
a2f51a3d-5e1e-41cd-8be6-696ac1a12d52,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
d5addbe0-2d36-489a-8552-b3a0e66aa5b8,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
e8fb78e6-329b-4968-b748-48d27078347a,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
2ae4a009-1481-412f-aa25-9d74b23a60ce,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
9db7e41e-7360-4529-bbdb-dbd220117f61,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
9d193d4b-29bf-4cf5-9ff0-ab04185a6486,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
b42b9195-4953-403f-8e52-55cc8e653c94,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
f24aa8ff-676a-4638-a1b4-4c16566079e8,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
9989a72f-2587-4a15-804e-e81d9af7ee93,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
f6ac868a-f7c6-48b7-a86e-ede7100859ea,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
471b943e-0115-4262-beee-ebaef1503b09,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
f2a9246c-1d44-4903-b6a1-f038b786c01b,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
29ce3d34-1e26-468c-af62-19ff0d0fd70f,85.7655029296875,0.0,361.0,MS_3,0.165999993681908,20.0,0.117200002074242
bdcb3549-eb2e-4903-8f0d-cf6a2166c09f,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
6fefbb49-0419-447c-9431-657cb0dc29fe,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
3362b510-7d57-44b1-a6cf-8081aac84a5b,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
f564bbec-720f-4299-b516-e576f02152c8,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
b0640c38-10d2-4f95-aa23-afbd8ad7f21c,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
1dd89c18-1436-4212-a053-5c6435368da5,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
f8b900a6-7d3e-41b9-b5c6-48eca9153984,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
cde5f3a8-4a99-49b7-a7e7-b73e1c6d8003,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
342054c6-c0dc-4b03-b914-6bdc69c17d1b,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
fdae377a-76ff-447c-a64b-ae3a431691a3,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
048a2c36-6fbc-43ec-aa92-3807f7bfec50,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
