[Zeit von];0 [TMZ in K];1 [TMZ in K];2 [TMZ in K];3 [TMZ in K];4 [TMZ in K];5 [TMZ in K];6 [TMZ in K];7 [TMZ in K];8 [TMZ in K];9 [TMZ in K];10 [TMZ in K];11 [TMZ in K];12 [TMZ in K];13 [TMZ in K];14 [TMZ in K];15 [TMZ in K];16 [TMZ in K];17 [TMZ in K];18 [TMZ in K];19 [TMZ in K];20 [TMZ in K];21 [TMZ in K];22 [TMZ in K];23 [TMZ in K];24 [TMZ in K];25 [TMZ in K];26 [TMZ in K];27 [TMZ in K];28 [TMZ in K];29 [TMZ in K];30 [TMZ in K];31 [TMZ in K];32 [TMZ in K];33 [TMZ in K];34 [TMZ in K]
06:45;0;0,024614202;0,054885691;0,14707617;0,149079287;0,148733496;0,202314973;0,203211736;0,228940588;0,258977658;0,293169951;0,387327408;0,405005387;0,423707669;0,441202528;0,472548462;0,498988119;0,540554027;0,567640033;0,613600848;0,644062219;0,69675753;0,690959585;0,725380856;0,742755858;0,770576215;0,792243095;0,803015719;0,901322099;0,933594519;0,959821528;0,995543133;1,017181419;1,044005201;1,111727668
07:00;0;0,014513459;0,032346396;0,063508211;0,135407934;0,147346296;0,130696848;0,146414842;0,146861457;0,163867567;0,164295637;0,21588363;0,223841803;0,219216001;0,210785359;0,222084692;0,239764296;0,255381444;0,269214479;0,338833888;0,38093387;0,41382667;0,406775249;0,421548271;0,458177032;0,492448972;0,531275896;0,540045169;0,580926745;0,610225251;0,649397158;0,669743622;0,690639243;0,703622313;0,763801724
07:15;0;0,014428561;0,036381161;0,049495894;0,10301414;0,095183829;0,103011547;0,087767877;0,10316256;0,111246682;0,11612254;0,12024181;0,124086135;0,128100152;0,132024667;0,136295951;0,148997015;0,157445106;0,164470311;0,183304013;0,211884365;0,220906402;0,228802061;0,237852921;0,271026337;0,288249838;0,338004832;0,355446603;0,361647914;0,402685821;0,435552956;0,479925357;0,493888883;0,500288916;0,553154659
07:30;0;0,004520398;0,010392547;0,015793059;0,04475936;0,071541825;0,056565346;0,07089078;0,053677199;0,061804857;0,064442566;0,066650748;0,068899632;0,071243315;0,07353787;0,076026312;0,083447179;0,09009318;0,093067788;0,103493573;0,115598548;0,14688359;0,153007926;0,158639522;0,165822317;0,190356095;0,193198585;0,195963691;0,198964146;0,238225236;0,267201067;0,271237501;0,281555112;0,284555788;0,288090601
07:45;0;0,000749678;0,001766568;0,004786598;0,018792877;0,042945283;0,057673062;0,033881964;0,039452575;0,049670909;0,051917994;0,053820386;0,055756171;0,057769404;0,059743524;0,061876071;0,069004014;0,071097114;0,078031009;0,080170988;0,091197645;0,127700712;0,133198307;0,136758636;0,144434817;0,153792694;0,156013116;0,158246144;0,160689282;0,17351293;0,215035259;0,225150436;0,228982117;0,231261223;0,233850961
08:00;0;0,000521832;0,001191786;0,00395041;0,012471418;0,040234813;0,02180391;0,027654965;0,032646475;0,036998984;0,046139506;0,047330455;0,048548894;0,049832161;0,051079009;0,052458015;0,058871549;0,060214633;0,066464193;0,067846329;0,074768153;0,081796826;0,086279476;0,087166634;0,09472595;0,10269882;0,103741294;0,104894456;0,106293122;0,106923307;0,108055789;0,109886751;0,111148607;0,112509167;0,114028898
08:15;0;0,000521832;0,001191786;0,002081612;0,010203715;0,014478775;0,01944595;0,024981739;0,03012553;0,034635093;0,041733627;0,047330455;0,048548894;0,049832161;0,051079009;0,052458015;0,058871549;0,060214633;0,066464193;0,067846329;0,074768153;0,078736033;0,082867533;0,082079088;0,090532735;0,10269882;0,103741294;0,104894456;0,106293122;0,106923307;0,108055789;0,109886751;0,111148607;0,112509167;0,114028898
08:30;0;0,000521832;0,001191786;0,002081612;0,007936015;0,011965086;0,017087983;0,02230852;0,027604595;0,032271212;0,039074058;0,047330455;0,048548894;0,049832161;0,051079009;0,052458015;0,058871549;0,060214633;0,066464193;0,067846329;0,074768153;0,075675248;0,079455583;0,076991551;0,086339504;0,10269882;0,103741294;0,104894456;0,106293122;0,106923307;0,108055789;0,109886751;0,111148607;0,112509167;0,114028898
08:45;0;0,000521832;0,001191786;0,002081612;0,005668316;0,009451394;0,014730024;0,019635306;0,025083639;0,029907321;0,036414481;0,047330455;0,048548894;0,049832161;0,051079009;0,052458015;0,058871549;0,060214633;0,066464193;0,067846329;0,074768153;0,075675248;0,07604364;0,076991551;0,082146289;0,095265527;0,103741294;0,104894456;0,106293122;0,106923307;0,108055789;0,109886751;0,111148607;0,112509167;0,114028898
09:00;0;0,001730077;0,003951233;0,006028895;0,011274373;0,017181006;0,025271851;0,033034094;0,041059968;0,048438205;0,161546386;0,208446912;0,212599232;0,217028832;0,221292941;0,225080377;0,235107484;0,239353399;0,288994128;0,334436993;0,365411609;0,409631978;0,410963789;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,46440046;0,482910897
