uuid,b,g,i_max,id,r,v_rated,x
b1614223-e9ef-4551-b50f-074d368a4289,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
3cde9801-6334-4e0d-8994-6d18b3906a71,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
44f95594-319f-47ba-9df2-5d9833e47408,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
fe7f2726-e60e-4111-9577-61f332eebf2e,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
5806cf0a-5c5c-44ec-ac36-83a0030fb9dc,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
9a3869ee-c4b1-4b3a-89ce-02d79a2cf4ad,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
afc0f157-2fcd-4435-8cc1-46b29f8c799a,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
2f625e1a-ff4b-4379-bd79-e309d5841ffb,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
6daeb4b5-b137-4ed4-8bac-f6193d5daf33,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
785dc700-c099-44fa-88b8-4242184395cf,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
1659f544-bc4d-40d8-a62b-70dd611bfc33,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
c3e20038-888d-4d19-91d0-9732110ff433,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
3d684e78-d7ba-436f-b223-c2f50de8d7ac,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
f66fc57d-f2be-41fd-bc60-d1177b091ac6,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
97a2a008-5c56-41d4-bef2-f1af45f2925b,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
af9a3ab2-48e6-4972-b589-8baae5c74fb9,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
103e89f7-9c1d-459d-abb8-cf964570340a,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
184d5283-e90b-4ad1-9a28-51f09df26312,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
d4ff2175-de32-4f24-99ad-ab11517444f9,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
9aafec57-d20c-4d25-9a12-0ffb299eddda,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
1568ffdb-4504-4dce-b1d4-680a286f52b2,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
1d393258-37f4-4e4f-a77f-781524a55083,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
76530f38-d7be-4e8b-b1f5-cfe49b59388f,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
