uuid,day_type,quarter_hour_of_day,probability
55be34bb-e8e2-4b57-a2b0-7992fafd0098,saturday,0,0.0
3e4ba346-dbc4-4f98-acdb-314881d59441,saturday,1,0.14285714285714285
cd38b632-c722-4e60-abe5-257e054d2bed,saturday,2,0.0
e45b3e58-0b03-4b8f-8ef5-3601fb2d7909,saturday,3,0.1
806ce41e-566e-4760-be4c-404b0b8b3c6d,saturday,4,0.0
9163f284-4949-471a-8b0b-dbe92d6b897b,saturday,5,0.5
753aafc4-9a65-44d0-b6a8-23f5fba5ebb5,saturday,6,0.0
8a1d4648-f579-400f-a872-de4bbdf6c69b,saturday,7,0.0
824d65c0-fa85-4b2e-a203-2988e4107088,saturday,8,0.0
de2c5f4e-1a50-41d2-91c7-2a2381ea61c8,saturday,9,0.0
06371608-19cc-4d75-aa0d-a258e60ef65e,saturday,10,0.0
acd646e8-e2c8-4599-8772-f85c2c734f2a,saturday,11,0.0
926be4f9-ff98-4fc2-8af1-413bd7668e02,saturday,12,0.0
effd8029-ed1d-4d84-90dd-5dee51672f28,saturday,13,0.0
0763568e-d48a-4b0a-b6db-c266bb3094c7,saturday,14,1.0
39d60795-b75a-49d3-baf4-0da6443c0075,saturday,15,0.6
b7581737-3ba3-4f05-bde9-ec4015b2fb1a,saturday,16,0.5
3a41884e-e5a6-4c16-b745-aa1a8ac9fd25,saturday,17,0.5
04890e78-eed1-45dd-bfef-2f4ef413a014,saturday,18,0.5
24aef629-264a-4357-835e-5f51d2244868,saturday,19,0.5
59d6ea3a-a03e-4193-864c-5801fdcb4a33,saturday,20,0.5
8403fdd9-4d0a-4781-ac4f-500a9afe0443,saturday,21,0.3333333333333333
6d715ea7-5ba7-45ff-829b-62f554d424f2,saturday,22,0.0
fa25ec9f-cb2d-4732-8b5c-b0ae9238baf8,saturday,23,0.6666666666666666
ada924b0-1ea6-4f6f-95be-5b17d8625b54,saturday,24,0.1111111111111111
6dcdad7c-6ce7-44b6-a1fc-3af0eeafc366,saturday,25,0.25
f7d2e99d-c6af-47ee-b8a4-d3e754c07d27,saturday,26,0.5
5c6d067e-a18c-45ae-a06f-42a53e8c6dbc,saturday,27,0.09090909090909091
151486a9-ea32-4a8a-9d03-fab6bc7f374a,saturday,28,0.2631578947368421
0eb8804f-11fc-453e-a055-9dd4ec433fe0,saturday,29,0.14705882352941177
25100d33-7f6a-4bf8-8a80-80ffda569b6b,saturday,30,0.288135593220339
ce79a5f8-0906-42d6-b630-870971f47d44,saturday,31,0.19642857142857142
a0548703-1528-43a6-9b92-83c1eaab533c,saturday,32,0.33
b1437667-99f5-48ad-8b00-211d228dc5d5,saturday,33,0.21875
c6147abc-4b99-42e4-830d-90955d46fbfa,saturday,34,0.27564102564102566
1e99758d-2180-4553-9a25-324152020c29,saturday,35,0.35514018691588783
