uuid,day_type,quarter_hour_of_day,from,to,probability
9bc82cb9-30a8-4e27-acb0-2dba296a6ef2,weekday,3,other,other,0
67cdf167-ce05-443f-ad1e-e323686bd2ad,weekday,4,home,home,0.5217391304347826
8ecf435a-d0d9-4ecd-9088-5223379c5f5a,weekday,4,home,work,0.13043478260869565
2a5990c7-78af-4563-bc45-257497cd951d,weekday,4,home,shopping,0.08695652173913043
65a77689-2d0f-40df-b29a-0892b90b96d8,weekday,4,home,leisure,0.13043478260869565
54224b80-4640-473d-824a-a914b95b44db,weekday,4,home,other,0.13043478260869565
b44cc3c9-ceae-478a-99f6-8cdb5ad5dbb6,weekday,4,work,home,0.2
883e4866-fd4e-4365-814b-e5ba06f1a215,weekday,4,work,work,0.2
c5c42e05-7e33-49f7-81a9-e84cba1ea00f,weekday,4,work,shopping,0.2
b2a90248-97eb-45c6-9775-e4ccc1b73aef,weekday,4,work,leisure,0.2
3eff9447-6787-45d1-bf95-e68508b3e7c1,weekday,4,work,other,0.2
269ce224-0e8a-4271-8e1b-9b21cceb4fd2,weekday,4,shopping,home,0.2
5b795a91-9e39-46a4-9eed-b365b3c01d86,weekday,4,shopping,work,0.2
f2279e16-f8f8-4fd1-9981-f12268bd20fb,weekday,4,shopping,shopping,0.2
161f4c74-9cfd-41e3-bdd0-52590ff32989,weekday,4,shopping,leisure,0.2
051449ba-7f72-4b23-88d4-a4cde84f883b,weekday,4,shopping,other,0.2
25581f24-7834-43e8-87a9-2dbfd9e8a338,weekday,4,leisure,home,1.0
c54ffec2-89cc-4c45-99b7-3e68519fc0c9,weekday,4,leisure,work,0
5b0488c8-5cb5-40c2-8e93-38dc0c79d9a7,weekday,4,leisure,shopping,0
d0b1839a-14a2-4f6d-8399-4076446874a8,weekday,4,leisure,leisure,0
72ef381a-3c31-4d2d-9f5b-8b5537a24b4b,weekday,4,leisure,other,0
c6871851-24aa-4f4a-a72e-9aae444906c9,weekday,4,other,home,0.2
d4e8761b-9ba0-4088-b652-c3c5e403df53,weekday,4,other,work,0.2
26253a7d-3510-4e43-bb7f-9630727590fe,weekday,4,other,shopping,0.2
c91cd6ba-73b5-4654-a7eb-68770e76364e,weekday,4,other,leisure,0.2
8fc74887-f2c4-4ca1-8001-621a56dcac4e,weekday,4,other,other,0.2
8251f6e6-fa69-4eed-bd12-afc30f73b1ca,weekday,5,home,home,0.14285714285714285
9974a6c3-d6af-4d70-beca-2b8b0b162a8d,weekday,5,home,work,0.42857142857142855
fdb9e4c4-d546-4360-ba1a-f08b0af0e34c,weekday,5,home,shopping,0.2857142857142857
9fbd86c9-1c76-41fc-b9fb-472b3f00b55f,weekday,5,home,leisure,0
7198c22f-14e6-4adb-9383-fb54696cfc26,weekday,5,home,other,0.14285714285714285
d91266f2-cb83-4bb9-918a-c9f704531b6f,weekday,5,work,home,0.2
75ae2435-ca6e-4dbf-940a-5c64a74af907,weekday,5,work,work,0.2
fc6d09c6-5073-4b34-91d1-ec44406eda43,weekday,5,work,shopping,0.2
e48afa3d-b9f4-4486-9fe6-194377244d2e,weekday,5,work,leisure,0.2
bd4d057c-cff9-4655-bd9a-f0b9714a5081,weekday,5,work,other,0.2
6b5e4db5-d130-4740-b94a-a7ccbe847ebb,weekday,5,shopping,home,0.2
abb536a9-f13f-47b1-ac19-39051d7fd2ed,weekday,5,shopping,work,0.2
22dec9e1-5453-4b1c-97bb-9cd285236895,weekday,5,shopping,shopping,0.2
