uuid,day_type,minute_of_day,probability
0c0a3a67-c48a-4d2f-8865-e1cdd0b2cdac,weekday,310,0.0018959205020920502
1ddc08cc-9f86-4cc7-a4fa-4463cea6e069,weekday,311,1.6344142259414225e-05
15dd61dc-3c24-4b04-b8c1-fe2ae865c3bf,weekday,312,3.268828451882845e-05
d7c4d423-c07d-4c99-b6d6-e1bec20c8a0c,weekday,315,0.0037264644351464437
e9fa447a-83b0-4a58-91d0-80de3847a901,weekday,317,3.268828451882845e-05
c037e311-f545-499e-8916-faa310e00d76,weekday,318,1.6344142259414225e-05
68c1591f-ff73-41d0-b54f-24b3fb6b0778,weekday,320,0.0027294717573221757
bb3830b0-811b-495a-8138-4d468340999d,weekday,321,1.6344142259414225e-05
8dad2bf6-e3fa-4701-bfaf-283988bc21e5,weekday,322,4.903242677824268e-05
7081041f-2e84-4b89-b621-44a430087e96,weekday,324,1.6344142259414225e-05
45a61fe8-63f2-483b-8051-8f1a1a741efe,weekday,325,0.0019939853556485356
0f540402-d803-4f7f-8ae8-7685178694e9,weekday,326,1.6344142259414225e-05
f16248f2-dbba-48c0-8b13-a9c60529af46,weekday,327,1.6344142259414225e-05
de7519dd-8d28-48f6-8164-06c0825ac2d9,weekday,330,0.011996600418410042
17b00ebd-d40b-40d3-97f6-53647df0b8df,weekday,334,3.268828451882845e-05
017e8c27-403e-41ea-9aad-e8d030130c6e,weekday,335,0.002239147489539749
f8ffa938-e426-45da-b097-e25dacc304a9,weekday,336,8.172071129707113e-05
a5cab247-c4d5-4e76-a016-4233884a0d56,weekday,337,3.268828451882845e-05
00cffe50-dc3e-4a9f-a0c7-71592e2aee31,weekday,338,4.903242677824268e-05
1d9d4cd1-baa5-4abc-8787-2d899ca34ec7,weekday,339,3.268828451882845e-05
b7e56151-2f34-42c0-8e83-8e4e7b06a8fe,weekday,340,0.0033015167364016736
a1970312-c74d-4303-877e-b6d1f3037a62,weekday,341,1.6344142259414225e-05
07fe2e26-dc26-458f-a10a-53fd4e853079,weekday,342,1.6344142259414225e-05
15483567-299c-4ab9-ac12-efc25037a18e,weekday,345,0.0061780857740585775
bddc2fea-7521-4758-9fef-f081d720610b,weekday,346,1.6344142259414225e-05
d895a2f7-0bfd-448c-8324-82a796dee49d,weekday,348,1.6344142259414225e-05
2b96aa55-c008-4fe8-bd43-e05c002836c8,weekday,350,0.0036447437238493726
884412f7-705f-4b6c-9992-2ca534d7f369,weekday,353,3.268828451882845e-05
c73b410a-c7d2-477d-8146-586cad8e7afa,weekday,354,1.6344142259414225e-05
dd7580ab-a302-44f9-8aab-81a9bdeffd3f,weekday,355,0.001944952928870293
0f51a82b-2f35-4393-9070-510003619a14,weekday,356,4.903242677824268e-05
b4697c91-e6db-4aa5-944b-ac386c1b9f10,weekday,357,4.903242677824268e-05
61a8b0a0-a3f6-44b4-8632-252515aa3a1c,weekday,358,6.53765690376569e-05
dfc4a793-8d2b-47b4-8e3a-a45809a9266a,weekday,360,0.015625
3ecddd89-d4f8-4226-88c8-ccb8b8fdd153,weekday,361,3.268828451882845e-05
d0d2fb55-1e07-42d6-b19f-a1a464197d7a,weekday,362,1.6344142259414225e-05
e7ab3ef1-5fbf-48d1-97f0-161b6749ed4e,weekday,363,6.53765690376569e-05
04ec8743-a2bd-4f48-b86d-9c6aeab69804,weekday,364,4.903242677824268e-05
bdb4f0c5-4611-4408-9e5c-b1b9df3829b2,weekday,365,0.0026640951882845186
9d99d7ce-e32c-49fc-acc0-2bea08baa841,weekday,366,4.903242677824268e-05
1741d628-c23d-4ed1-bbd4-bc4455695695,weekday,367,8.172071129707113e-05
f7f4a16c-2a14-4afd-b812-fa6660089918,weekday,368,0.00014709728033472804
c6ec5684-fad4-4e48-bb4d-c766b8a351ab,weekday,369,3.268828451882845e-05
2d071b78-89ff-46b0-a364-743e8fcc3d8c,weekday,370,0.0048378661087866105
a0ed7648-b2cc-4161-b3e1-90ffeace4d87,weekday,371,6.53765690376569e-05
4c2fdb84-71e1-44d4-a61d-a77d9e08108b,weekday,372,4.903242677824268e-05
f8ac9e6d-c171-44b7-9ec1-0174d135ed16,weekday,374,3.268828451882845e-05
09686950-8826-4c7c-8f67-97b4fa15c617,weekday,375,0.010035303347280335
3924316b-9e74-43c2-a262-f4d2a9a91885,weekday,376,3.268828451882845e-05
9d351769-a561-4ff8-b37c-3acae1583c78,weekday,377,1.6344142259414225e-05
7b2338ab-42a0-49fe-9c62-5303a464bee1,weekday,378,9.806485355648535e-05
1a777128-9126-4d9d-8898-b166f3968da8,weekday,379,4.903242677824268e-05
7ef40862-1f32-4cba-a5de-dc0a9a25ff89,weekday,380,0.006210774058577406
1489eb2d-904b-4a73-bbcf-f9b86321c3a8,weekday,381,3.268828451882845e-05
bdb307b8-3daf-494c-8e62-24a29a63285a,weekday,383,1.6344142259414225e-05
