uuid,day_type,time,poi_type,categorical_location,probability
458b2b3d-8f56-4e12-a00f-162e538545bc,weekday,14:00-18:00,shopping,sports,0
d18c4232-8476-457d-a1eb-b2ac3c701322,weekday,14:00-18:00,shopping,culture,0
f88a2904-a53c-403a-a6c7-c821a7273fc7,weekday,18:00-23:00,shopping,supermarket,0.481581311769991
1719ead6-7203-42e7-93b6-9b0a85a2b2d5,weekday,18:00-23:00,shopping,other_shop,0.13926325247079965
053f1a43-52fe-401c-a6cc-0bb43d580992,weekday,18:00-23:00,shopping,medicinal,0.048966756513926325
b7e9aa7f-86c4-4781-9cbf-516280dd89f3,weekday,18:00-23:00,shopping,home,0.1985624438454627
84150aa0-6392-4889-bb53-6679acb0da04,weekday,18:00-23:00,shopping,services,0.03009883198562444
afae10c4-6f4f-4d37-880e-09b09934812b,weekday,18:00-23:00,shopping,bbpg,0.025157232704402517
f6a0ba2d-5986-42b4-b201-361812c30780,weekday,18:00-23:00,shopping,religious,0.03099730458221024
9eebccff-0f07-4306-b29a-0e588e9d75b8,weekday,18:00-23:00,shopping,restaurant,0.04537286612758311
ff896801-26b4-482b-b518-6b3d85f6dd9a,weekday,18:00-23:00,shopping,sports,0
23fcf892-aa90-47e0-9d83-4708b58d69f8,weekday,18:00-23:00,shopping,culture,0
75f4a524-9b84-4594-ad56-d843a4ee6acc,weekday,23:00-5:00,shopping,supermarket,0.0625
81989278-dc17-486a-8098-52e5431c2c57,weekday,23:00-5:00,shopping,other_shop,0.1875
acc10003-29dc-451c-a8d0-c80de1f993c0,weekday,23:00-5:00,shopping,medicinal,0.125
9475b6e2-2c48-4cb3-9fc5-e9a62ebc28bd,weekday,23:00-5:00,shopping,home,0.4375
d038e359-ad20-4144-b232-032c41f5be38,weekday,23:00-5:00,shopping,services,0.0625
53b5a201-7bd7-419f-bf37-953a6d4fe0a6,weekday,23:00-5:00,shopping,bbpg,0.0625
e2541124-3ed6-407b-b329-5950406ad6d3,weekday,23:00-5:00,shopping,religious,0
f3e2e042-0299-4c16-9695-80a138cd1ba3,weekday,23:00-5:00,shopping,restaurant,0.0625
889060e8-361c-4701-89cf-5e6ada3fd4a1,weekday,23:00-5:00,shopping,sports,0
287d7e60-b9ed-426b-ae86-b005e7974adf,weekday,23:00-5:00,shopping,culture,0
1757b4e5-bfd5-47b6-8420-c85f7e04fbf1,weekday,5:00-10:00,leisure,supermarket,0.004
f0a7f37a-6f27-4f04-a837-1dfdfeb320da,weekday,5:00-10:00,leisure,other_shop,0
0117eee9-0aeb-483a-9c02-19c078d192ac,weekday,5:00-10:00,leisure,medicinal,0
c9c9670d-d143-47fa-b736-01b73ca3b25f,weekday,5:00-10:00,leisure,home,0.236
10e1860d-0dac-46a9-b657-8491447ffa3b,weekday,5:00-10:00,leisure,services,0
f1307cfc-049e-4037-844d-7abef06aa4dd,weekday,5:00-10:00,leisure,bbpg,0
8d2adc60-3363-4c56-a802-7a1ff0138e59,weekday,5:00-10:00,leisure,religious,0.028
79bc13f1-455b-42f1-a686-ffc38954e25e,weekday,5:00-10:00,leisure,restaurant,0.028
528f3911-ad24-400b-ac64-78296a32eb2c,weekday,5:00-10:00,leisure,sports,0.692
5abd2488-e81b-43db-9af7-50c88340adde,weekday,5:00-10:00,leisure,culture,0.012
a0a0c19a-1cb9-414d-9166-3dd0714d1fde,weekday,10:00-12:00,leisure,supermarket,0.027855153203342618
77ca9f6a-5563-4664-a933-32dde4846c19,weekday,10:00-12:00,leisure,other_shop,0
49d73b3d-9f5b-43e1-9c05-0f782564b482,weekday,10:00-12:00,leisure,medicinal,0
3ca394aa-b32e-458e-8cfe-f6b1f4cfd84f,weekday,10:00-12:00,leisure,home,0.37047353760445684
105ae84a-08a7-4483-96ea-bf341e2c8b1d,weekday,10:00-12:00,leisure,services,0
eea698e4-b4c1-4298-89f2-80c9317e5be5,weekday,10:00-12:00,leisure,bbpg,0
eba66bf4-7d5a-4dc9-be9c-e58b5d18d47f,weekday,10:00-12:00,leisure,religious,0.04456824512534819
98ca6190-03cb-48ac-9a6a-f4ba6802f9a3,weekday,10:00-12:00,leisure,restaurant,0.08449396471680594
921eae09-b9f0-41ad-a184-5bebb5ab2ccd,weekday,10:00-12:00,leisure,sports,0.42525533890436396
04622d12-c3fc-44e3-a73d-cc73caebe1fa,weekday,10:00-12:00,leisure,culture,0.04735376044568245
